FACILITYID,NAME,STATE,YEAR,Avg_Temp_Mean_Summer,Avg_Temp_Max_Summer,90th_Percentile_Summer,Days_Above_10F,Count_Heatwaves_1Day,Count_Heatwaves_2Day,Count_Heatwaves_3Day,ToBeDropped
10000187,COFFIELD UNIT,TX,2000,82.51633595286822,94.44480326292948,102.20540046691895,0,5,3,5,Drop
10000187,COFFIELD UNIT,TX,2001,80.73477881150171,90.86280339350473,97.94839881896974,0,6,4,3,Drop
10000187,COFFIELD UNIT,TX,2002,80.83510667613297,91.38834450205819,96.34639717102051,0,4,4,5,Drop
10000187,COFFIELD UNIT,TX,2003,80.05490969986211,90.05413084811856,96.34460021972657,0,6,4,3,Drop
10000187,COFFIELD UNIT,TX,2004,79.50244261085012,89.85937699177227,94.49419906616211,0,5,4,4,Drop
10000187,COFFIELD UNIT,TX,2005,82.87013929867355,94.63955737254656,98.8789998626709,0,6,5,2,Drop
10000187,COFFIELD UNIT,TX,2006,82.14903278350832,94.3744262351364,100.92200233459474,0,5,4,4,Drop
10000187,COFFIELD UNIT,TX,2007,80.71213101246316,90.36411454247641,94.73720085144043,0,2,2,9,Drop
10000187,COFFIELD UNIT,TX,2008,81.35540983325143,92.35695071611246,99.8599993133545,0,3,2,8,Drop
10000187,COFFIELD UNIT,TX,2009,82.14681953367634,92.92380286670122,100.941799697876,0,4,3,6,Drop
10000187,COFFIELD UNIT,TX,2010,83.49925412819033,93.8975736399166,100.15699821472168,0,4,2,7,Drop
10000187,COFFIELD UNIT,TX,2011,86.36331962288396,99.51003273510543,105.0728012084961,0,4,3,6,Drop
10000187,COFFIELD UNIT,TX,2012,82.74583599606494,94.23219662338008,101.388198928833,0,8,2,3,Drop
10000187,COFFIELD UNIT,TX,2013,83.04409023034772,95.03068866417057,101.71579750061036,0,6,3,4,Drop
10000187,COFFIELD UNIT,TX,2014,81.0796558114349,91.23873775669786,96.97639785766603,0,5,3,5,Drop
10000187,COFFIELD UNIT,TX,2015,83.03966387842522,94.49009836853527,99.76820236206055,0,3,3,7,Drop
10000187,COFFIELD UNIT,TX,2016,82.9311474002776,92.79027856920584,99.36859802246094,0,2,2,9,Drop
10000187,COFFIELD UNIT,TX,2017,81.49867217814334,91.38760649884334,97.33819892883301,0,7,4,2,Drop
10000187,COFFIELD UNIT,TX,2018,83.91273748991922,94.33031114672058,100.42339813232422,0,7,2,4,Drop
10000187,COFFIELD UNIT,TX,2019,82.87972956954455,93.35624598831424,98.54420181274413,0,6,4,3,Drop
10000187,COFFIELD UNIT,TX,2020,81.12945076676668,91.37816388489773,97.98259994506836,0,5,3,5,Drop
10000187,COFFIELD UNIT,TX,2021,81.0254345956396,91.10742651204596,95.53099876403809,0,8,3,2,Drop
10000187,COFFIELD UNIT,TX,2022,84.18015572672984,95.93083589897779,102.0650006866455,0,4,3,6,Drop
10002941,LOPEZ STATE JAIL,TX,2000,85.27631152887817,97.10880336761467,102.13520195007325,0,4,3,6,Drop
10002941,LOPEZ STATE JAIL,TX,2001,85.55604917807655,96.55390174740646,101.22439826965334,0,9,2,2,Drop
10002941,LOPEZ STATE JAIL,TX,2002,85.21198359473806,95.84909829311681,99.58639854431154,0,6,4,3,Drop
10002941,LOPEZ STATE JAIL,TX,2003,84.89941804291774,95.24713106311737,100.27940101623535,0,2,1,10,Drop
10002941,LOPEZ STATE JAIL,TX,2004,84.59282782664067,95.33536050827777,99.91219947814942,0,4,4,5,Drop
10002941,LOPEZ STATE JAIL,TX,2005,86.37305727630365,97.8370653621486,101.80399780273437,0,5,3,4,Drop
10002941,LOPEZ STATE JAIL,TX,2006,84.93335238753774,95.76013106987122,99.77539978027345,0,7,2,4,Drop
10002941,LOPEZ STATE JAIL,TX,2007,84.35034427017456,94.27144260719174,97.77200164794922,0,7,1,4,Drop
10002941,LOPEZ STATE JAIL,TX,2008,83.57228684894376,93.32024567088142,98.48839744567871,0,8,1,4,Drop
10002941,LOPEZ STATE JAIL,TX,2009,86.7568851502215,98.37322941139101,102.91640266418457,0,6,3,4,Drop
10002941,LOPEZ STATE JAIL,TX,2010,84.81037694196229,94.7459343237955,99.10039772033693,0,6,4,3,Drop
10002941,LOPEZ STATE JAIL,TX,2011,86.57902457440488,98.53257391570048,101.74100013732911,0,6,6,1,Drop
10002941,LOPEZ STATE JAIL,TX,2012,86.44291819431746,98.3848855002982,102.17840293884278,0,7,3,3,Drop
10002941,LOPEZ STATE JAIL,TX,2013,85.40570492197259,96.08250823724462,101.57719947814942,0,5,5,3,Drop
10002941,LOPEZ STATE JAIL,TX,2014,85.61654105733656,96.15303300638675,101.29820030212402,0,5,5,3,Drop
10002941,LOPEZ STATE JAIL,TX,2015,84.78153268782815,95.50945882953584,100.45760131835938,0,5,2,6,Drop
10002941,LOPEZ STATE JAIL,TX,2016,86.70140983550274,97.84916394343144,101.88140266418458,0,3,2,8,Drop
10002941,LOPEZ STATE JAIL,TX,2017,86.43332800787003,98.03742652330243,102.19279983520508,0,7,2,4,Drop
10002941,LOPEZ STATE JAIL,TX,2018,86.26549989981727,96.78981943912193,101.55920249938966,0,7,4,2,Drop
10002941,LOPEZ STATE JAIL,TX,2019,87.10242621937738,97.90213110251499,102.21980079650879,0,6,2,5,Drop
10002941,LOPEZ STATE JAIL,TX,2020,84.70481140730811,95.11006533513307,100.72220016479493,0,7,2,4,Drop
10002941,LOPEZ STATE JAIL,TX,2021,84.29435257833511,94.67009846421537,98.70080230712891,0,3,2,8,Drop
