,V003,FACILITYID
38,PGA109,10001432
39,PHI005,10000128
40,PIA003,10001852
41,PIL017,10000674
42,PIL017,10000647
43,PIL029,10000687
44,PIL036,10000657
45,PIL040,10006210
46,PKS002,10001040
47,PKS004,10001043
48,PKY039,10000102
49,PMA009,10001408
50,PMA010,10000281
51,PMI026,10001389
52,PND012,10006588
53,PNM007,10003781
54,PNM019,10003795
55,PNM017,10003774
56,PNM018,10003773
57,FOK236,10001727
58,PPA004,10006379
59,FTX298,10001974
60,PTX044,10000247
61,FTX303,10000165
62,FTX303,10005130
63,PTX072,10001977
64,PTX109,10000209
65,PTX093,10002876
66,PTX075,10002791
67,PTX119,10002792
68,PTX098,10000186
69,FTX331,10002913
70,PTX118,10000178
71,PTX062,10000208
72,PUT008,10003465
73,FWV362,10000006
