,V003,FACILITYID
292,FIL115,10000694
293,PGA055,10002141
294,PNV012,10002996
295,PTX121,10000156
296,FLA154,10000956
297,PMO004,10004043
298,PFL087,10000438
299,FMI171,10000275
300,PIN002,10001075
301,FSC271,10001134
302,POH026,10000976
303,PTX131,10002838
304,PMI037,10001357
305,PIN007,10001060
306,PIN025,10001061
307,PID007,10001181
308,PTX102,10001967
309,PCT041,10001605
310,PTX067,10000210
311,PNJ035,10004003
312,POH001,10003389
313,FKY141,10000109
314,PNY048,10003209
315,FKY145,10004330
316,PTN019,10001717
317,PIN027,10001068
318,PNY019,10003192
319,FAZ022,10000627
320,PMN014,10001330
321,FTX296,10001989
322,PNY028,10003189
323,PWI062,10002537
324,PTN016,10001014
325,PNC051,10004173
326,PFL037,10000546
327,PGA005,10002102
328,FOK239,10003578
329,PGA013,10000325
330,PNC073,10001799
331,POH022,10003357
332,PTN011,10003538
333,FTX309,10000159
334,POK011,10001017
335,PMI034,10001386
336,FKS128,10001029
337,PMT020,10003624
338,PGA033,10000314
339,FWV354,10000043
340,PTX041,10000246
341,FCA038,10000864
342,POR007,10001294
343,PNV011,10002991
344,PSC011,10001142
345,PDE006,10002262
346,PMI012,10000278
347,PIL006,10000662
348,POR018,10001295
349,PMI003,10001364
350,PLA030,10000960
351,POH023,10003342
352,PAL003,10001954
353,PKY018,10000110
354,PNJ014,10003996
355,PTX027,10001275
356,FSC273,10001146
357,FGA095,10000285
358,PFL012,10006205
359,PTN002,10001716
360,PPA054,10006363
361,FFL074,10004594
362,PMN006,10000262
363,PCT029,10000927
364,FTX325,10000172
365,PWI049,10002571
366,PMI019,10001387
367,PMI021,10001382
368,PTN006,10003507
369,PPA059,10000718
370,FFL073,10004593
371,PAL028,10000129
372,PPA058,10003064
373,PTX054,10002893
374,PID006,10001183
375,FMS186,10001811
376,POH024,10003433
377,PPA068,10003073
378,PMI008,10002084
379,PTX047,10002822
380,PTX076,10000206
381,PNJ036,10003990
382,PMI004,10002088
383,PWA029,10002506
384,FOH231,10003385
385,PCA009,10000852
386,POK029,10001735
387,PCA015,10000785
388,POH029,10003392
389,POH046,10003378
390,FTX294,10002860
391,POH028,10003376
392,POR015,10001310
393,PTX006,10000205
394,PTX134,10000248
395,PIN038,10001051
396,PIN022,10001059
397,PTX058,10000175
398,PTX005,10000196
399,PIN023,10004913
400,PCA019,10002353
401,PCA084,10000810
402,PCA023,10002347
403,PCA024,10002348
404,PTX135,10000154
405,PTX074,10002716
406,PAZ011,10003976
407,PCA010,10000773
408,PCA088,10000869
409,PIN029,10001067
410,PSC008,10001925
411,PSC009,10001928
412,PAZ002,10000618
413,PAZ003,10006312
414,PAZ010,10000615
415,PFL058,10000411
416,FWY367,10006675
417,PPA015,10006365
418,PIA016,10001089
419,PFL004,10000519
420,PIA026,10001863
421,PMN015,10001318
422,PIA009,10001867
423,PIA015,10001089
424,PFL150,10000450
425,PFL157,10004612
426,PFL090,10000518
427,POK017,10001722
428,PMI038,10001384
429,PVA030,10003263
430,PFL013,10004622
431,PIA017,10001089
432,PIN004,10004895
433,PVA040,10003333
434,PVT002,10001914
435,PFL017,10004567
436,PGA027,10003928
437,PVA020,10001601
438,PMD004,10001558
439,PCO044,10000557
440,PVA019,10001598
441,PHI004,10003692
442,PNV015,10003002
443,PAL031,10000150
444,PGA068,10005199
445,PGA096,10004515
446,PVT004,10001918
447,PGA084,10002108
448,PNM010,10001249
449,PVT006,10001116
450,PNC031,10004210
451,PWA015,10002479
452,PFL106,10004558
453,PFL082,10000429
454,PFL059,10000413
455,PFL036,10000433
456,PFL064,10000492
457,POR014,10001312
458,PNV003,10003014
459,PWV016,10006191
460,PFL035,10006331
461,PNY049,10003193
462,PID009,10001173
463,PFL052,10006326
464,PMD016,10000918
465,PFL161,10000407
466,PGA118,10004453
467,PTX022,10002897
468,PVA004,10003331
469,PWI055,10002605
470,PWA006,10002491
471,PWA012,10001690
472,PMD002,10001552
473,PWI010,10000990
474,PMD005,10002359
475,PTX034,10000161
476,PTX069,10002713
477,PNC022,10001750
478,PTX056,10000200
479,PAL034,10003698
480,PTX126,10000155
481,PMD009,10001570
482,PWV021,10000013
483,POK019,10003591
484,PAL024,10001216
485,PMD012,10001548
486,PCO013,10002221
487,PMO023,10001632
488,PNC027,10001769
489,PIN021,10001073
490,PMD014,10001559
491,PMD013,10001560
492,PKY030,10000115
493,FWV366,10000004
494,PNY058,10003140
495,PNC001,10001786
496,PSC023,10001129
497,PNC004,10006147
498,PNY011,10002281
499,PMS038,10001821
