,FACILITYID,STATE,Year,Mean_LST,Mean_LST_F
0,10000262,MN,1990,28.4668469025573,83.24032442460314
1,10000263,MN,1990,28.9934119983284,84.18814159699113
2,10000264,MI,1990,,
3,10000267,MI,1990,35.095235145323,95.1714232615814
4,10000269,MI,1990,29.8477662142136,85.72597918558448
5,10000272,MI,1990,39.0578948399024,102.30421071182433
6,10000273,MI,1990,39.3420354085719,102.81566373542942
7,10000274,MI,1990,28.4987290784177,83.29771234115185
8,10000275,MI,1990,29.1068299869127,84.39229397644286
9,10000277,MI,1990,29.3318739311027,84.79737307598486
10,10000278,MI,1990,27.8770588367431,82.17870590613758
11,10000633,IL,1990,34.5690475542856,94.22428559771409
12,10000635,IL,1990,38.2901780973383,100.92232057520894
13,10000636,IL,1990,37.8492164790336,100.12858966226048
14,10000638,IL,1990,28.6207322473976,83.51731804531568
15,10000642,IL,1990,32.3281733238119,90.19071198286143
16,10000644,IL,1990,33.7095000403639,92.67710007265502
17,10000646,IL,1990,33.0070197958029,91.41263563244522
18,10000647,IL,1990,32.2633459180982,90.07402265257676
19,10000652,IL,1990,32.141968955081,89.8555441191458
20,10000653,IL,1990,33.7916672351453,92.82500102326154
21,10000655,IL,1990,32.0921945588676,89.76595020596167
22,10000657,IL,1990,39.3916736900509,102.90501264209162
23,10000658,IL,1990,28.3664814006906,83.05966652124309
24,10000659,IL,1990,27.3352461674502,81.20344310141036
25,10000660,IL,1990,32.4608124548778,90.42946241878003
26,10000662,IL,1990,29.6036919968174,85.28664559427132
27,10000664,IL,1990,32.3192780064927,90.17470041168687
28,10000665,IL,1990,33.5866849364921,92.45603288568577
29,10000667,IL,1990,32.8603498092138,91.14862965658484
30,10000669,IL,1990,34.6850657603445,94.4331183686201
31,10000671,IL,1990,33.1989746343789,91.75815434188202
32,10000672,IL,1990,36.8766147060348,98.37790647086264
33,10000673,IL,1990,37.0012149577661,98.60218692397899
34,10000674,IL,1990,37.4514470737176,99.41260473269169
35,10000676,IL,1990,35.5660266579616,96.01884798433089
36,10000677,IL,1990,39.0768057950301,102.33825043105418
37,10000678,IL,1990,27.6248610686302,81.72474992353436
38,10000679,IL,1990,37.533270009689,99.55988601744019
39,10000680,IL,1990,40.1053322183236,104.18959799298248
40,10000682,IL,1990,27.9490666452982,82.30831996153677
41,10000683,IL,1990,41.3963494628185,106.5134290330733
42,10000685,IL,1990,37.9925040710868,100.38650732795624
43,10000687,IL,1990,42.4218492936326,108.35932872853867
