,FACILITYID,STATE,TYPE,pm25_2019_2022_mean,delta_from_naaqs,pm25_1998,pm25_2019,pm25_2022,statewide_1998_mean,statewide_2019_mean,statewide_2022_mean,perc_natl_1998,perc_natl_2019,perc_natl_2022,delta_natl_1998,delta_natl_2019,delta_natl_2022
0,10000004,WV,FEDERAL,7.450000047683712,-1.5499999523162877,16.8333326975505,7.40000009536743,7.23333342870076,15.616666666666672,6.849999999999999,6.616666666666666,0.10030560362296209,0.08182164606604668,0.0892927640061188,4.703740860815804,0.6780613198572256,0.3272109797211673
1,10000006,WV,FEDERAL,6.887499988079073,-2.112500011920927,15.4499998092651,6.85000014305115,6.69999980926514,15.616666666666672,6.849999999999999,6.616666666666666,-0.013740516551993065,2.128123390383971e-08,0.012066560246232939,3.320407972530404,0.12806136754094588,-0.20612263971445266
2,10000013,WV,STATE,6.866666714350383,-2.133333285649617,15.6333335240682,6.93333339691162,6.46666669845581,15.616666666666672,6.849999999999999,6.616666666666666,0.0013740658074785667,0.012397226409622621,-0.02171985355299046,3.5037416873335054,0.21139462140141596,-0.4394557505237833
3,10000014,WV,STATE,6.674999952316282,-2.3250000476837176,16.0500001907349,6.54999995231628,6.5,15.616666666666672,6.849999999999999,6.616666666666666,0.03572531787556674,-0.044629988118412844,-0.016893223010244224,3.9204083540002035,-0.1719388231939245,-0.40612244897959293
4,10000023,WV,FEDERAL,6.09999990463257,-2.90000009536743,14.8000001907349,6.09999990463257,5.69999980926514,15.616666666666672,6.849999999999999,6.616666666666666,-0.06732843832868986,-0.11157496674915826,-0.1327324941272895,2.6704083540002053,-0.6219388708776341,-1.2061226397144527
5,10000025,WV,STATE,7.649999976158143,-1.350000023841857,16.2999992370605,7.59999990463257,7.30000019073486,15.616666666666672,6.849999999999999,6.616666666666666,0.05633599049263494,0.11157493837418139,0.09894604810680105,4.170407400325805,0.8780611291223659,0.3938777417552668
6,10000028,WV,STATE,6.412499964237212,-2.5875000357627878,13.6500000953674,6.30000019073486,6.14999985694885,15.616666666666672,6.849999999999999,6.616666666666666,-0.1621379018989894,-0.08182160350358045,-0.06757291275464834,1.5204082586327043,-0.4219385847753445,-0.7561225920307431
7,10000043,WV,FEDERAL,6.9000000953674325,-2.0999999046325675,14.5,6.85000014305115,6.5,15.616666666666672,6.849999999999999,6.616666666666666,-0.09206135554246983,2.128123390383971e-08,-0.016893223010244224,2.3704081632653047,0.12806136754094588,-0.40612244897959293
8,10000044,WV,FEDERAL,6.975000023841858,-2.024999976158142,14.5,6.90000009536743,6.59999990463257,15.616666666666672,6.849999999999999,6.616666666666666,-0.09206135554246983,0.007438344358266791,-0.002413331382005643,2.3704081632653047,0.17806131985722562,-0.3061225443470228
9,10000053,WY,STATE,6.72499990463257,-2.27500009536743,9.0,5.30000019073486,6.69999980926514,6.758333333333333,4.408333333333333,5.175,0.18480973612630044,0.13265024975385137,0.22081853030139442,-3.1295918367346953,-1.4219385847753445,-0.20612263971445266
