,FACILITYID,STATE,TYPE,pm25_2019_2022_mean,delta_from_naaqs,pm25_1998,pm25_2019,pm25_2022
0,10000004,WV,FEDERAL,7.450000047683712,-1.5499999523162877,16.8333326975505,7.40000009536743,7.23333342870076
1,10000006,WV,FEDERAL,6.887499988079073,-2.112500011920927,15.4499998092651,6.85000014305115,6.69999980926514
2,10000013,WV,STATE,6.866666714350383,-2.133333285649617,15.6333335240682,6.93333339691162,6.46666669845581
3,10000014,WV,STATE,6.674999952316282,-2.3250000476837176,16.0500001907349,6.54999995231628,6.5
4,10000023,WV,FEDERAL,6.09999990463257,-2.90000009536743,14.8000001907349,6.09999990463257,5.69999980926514
5,10000025,WV,STATE,7.649999976158143,-1.350000023841857,16.2999992370605,7.59999990463257,7.30000019073486
6,10000028,WV,STATE,6.412499964237212,-2.5875000357627878,13.6500000953674,6.30000019073486,6.14999985694885
7,10000043,WV,FEDERAL,6.9000000953674325,-2.0999999046325675,14.5,6.85000014305115,6.5
8,10000044,WV,FEDERAL,6.975000023841858,-2.024999976158142,14.5,6.90000009536743,6.59999990463257
9,10000053,WY,STATE,6.72499990463257,-2.27500009536743,9.0,5.30000019073486,6.69999980926514
10,10000055,WY,STATE,5.131250083446499,-3.868749916553501,5.59999990463257,4.04999995231628,4.80000019073486
11,10000056,WY,STATE,5.875,-3.125,6.59999990463257,4.5,5.5
12,10000057,WY,STATE,5.07499998807907,-3.92500001192093,6.90000009536743,3.79999995231628,4.69999980926514
13,10000060,AR,STATE,6.124999880790712,-2.8750001192092878,12.1000003814697,6.09999990463257,6.0
14,10000062,AR,STATE,8.175000071525572,-0.824999928474428,14.8999996185303,8.30000019073486,8.0
15,10000065,AR,STATE,8.362499952316284,-0.6375000476837158,17.2000007629395,8.59999990463257,8.25
16,10000066,AR,STATE,7.89999997615814,-1.1000000238418597,17.1000003814697,8.0,7.90000009536743
17,10000069,AR,STATE,8.550000190734863,-0.4499998092651367,17.7000007629395,8.30000019073486,8.80000019073486
18,10000070,AR,STATE,8.550000190734863,-0.4499998092651367,17.6000003814697,8.30000019073486,8.80000019073486
19,10000075,AR,STATE,7.26250010728836,-1.7374998927116403,15.0500001907349,7.40000009536743,7.30000019073486
20,10000076,AR,STATE,7.52500009536743,-1.4749999046325701,15.3999996185303,7.40000009536743,7.5
21,10000078,AR,STATE,7.800000071525573,-1.1999999284744272,15.6000003814697,7.90000009536743,7.80000019073486
22,10000079,AR,STATE,7.6250001192092896,-1.3749998807907104,15.6000003814697,7.5,7.59999990463257
23,10000080,AR,STATE,7.687500059604645,-1.3124999403953552,15.6500000953674,7.54999995231628,7.70000004768372
24,10000081,AR,STATE,7.825000047683715,-1.174999952316285,15.8000001907349,7.69999980926514,7.80000019073486
25,10000082,AR,STATE,7.662500023841861,-1.3374999761581394,15.6999998092651,7.5,7.70000004768372
26,10000083,AR,STATE,8.124999999999996,-0.8750000000000036,16.5,7.80000019073486,8.0
27,10000084,AR,STATE,8.418750137090685,-0.5812498629093152,16.7249999046326,8.07500016689301,8.40000009536743
28,10000085,AR,STATE,8.100000143051151,-0.899999856948849,15.3000001907349,8.0,8.10000038146973
29,10000087,AR,STATE,8.050000190734865,-0.9499998092651349,14.8999996185303,8.10000038146973,7.90000009536743
30,10000088,AR,STATE,8.024999976158142,-0.9750000238418579,15.1000003814697,8.19999980926514,7.90000009536743
31,10000092,VT,STATE,5.22499990463257,-3.77500009536743,9.30000019073486,5.0,5.09999990463257
32,10000094,VT,STATE,5.3500001430511475,-3.6499998569488525,9.55000019073486,4.80000019073486,5.30000019073486
33,10000095,VT,STATE,5.712500035762785,-3.287499964237215,10.5,5.25,5.75
34,10000098,SC,STATE,6.13749998807907,-2.86250001192093,14.1999998092651,6.09999990463257,6.04999995231628
35,10000099,SC,FEDERAL,6.249999940395358,-2.750000059604642,14.25,6.20000004768372,6.19999980926514
36,10000100,ME,STATE,4.550000071525572,-4.449999928474428,7.90000009536743,4.30000019073486,4.19999980926514
37,10000101,KY,STATE,7.799999952316285,-1.200000047683715,16.6500005722046,7.69999980926514,7.30000019073486
